湖南人文科技学院	0x20
淮阴工学院	0x2f2
江苏大学	0xfb7
淮南教育学院	0xd06
大庆石油化工总厂职工大学	0x7cc
衡阳医学院	0x297
郑州理工职业学院	0x2db
上海开放大学	0xbd6
北京航空学院	0x81d
苏州工业园区职业技术学院	0x288
湛江师范学院	0xadd
甘肃省农业机械化学校	0x2ab
湖南城市学院	0x129
淄博职业学院	0x854
潍坊工商职业学院	0x271
北京社会管理职业学院	0xfed
吉林工业大学	0x3ab
太原理工大学现代科技学院	0x63a
上海体育学院	0xad
安徽大学江淮学院	0xd97
电子科技大学成都学院	0xf02
北京市丰台区职工大学	0x1ed
湖北民族学院	0x693
福建农业大学	0xbb0
豫西师范学校	0x604
西安邮电大学	0x103d
河北医科大学临床学院	0x5c
北京戏曲艺术职业学院	0xf17
聊城农业学校	0xac6
泉州教育学院	0x130
郑州信息科技职业学院	0x5da
鹤壁职业技术学院	0xb2b
中国人民解放军空军勤务学院	0xee9
河北民族师范学院	0x4a2
襄阳工业学校	0x114d
西北建筑工程学院	0xd49
乌鲁木齐职业大学	0x81c
淮南联合大学	0x602
广西中远职业学院	0x10f8
铜仁职业技术学院	0x52f
宁德市农业学校	0xf07
丽水学院	0xae8
河北地质大学	0x546
吉林司法警官职业学院	0x8ac
常州大学怀德学院	0x1f9
天津职工工艺美术学院	0xdc2
中国科学院成都分院职工大学	0xf2d
潍坊市水产职业中等专业学校	0x589
云南现代职业技术学院	0xae0
天津体育学院运动与文化艺术学院	0xe43
绍兴师范专科学校	0x9c
浙江水产学院	0xc43
武汉信息传播职业技术学院	0x35b
沈阳城市学院	0xf41
甘肃省交通干部学校	0xdd
邯郸师范专科学校	0x107f
海南医学院	0x981
西北民族大学	0xc9e
长治医学院	0xe8e
福州师范高等专科学校	0xe0e
沈阳市机电工业学校	0xe07
中国人民解放军战略支援部队航天工程大学	0x2ef
北京培黎职业学院	0x1045
齐齐哈尔高等师范专科学校	0x332
北京中医药大学	0xc8c
青海医学院	0x832
安徽商贸职业技术学院	0x1ff
东莞理工学院城市学院	0x7a4
辽宁政法职业学院	0xb86
西南财经大学天府学院	0xb83
深圳信息职业技术学院	0x101e
安徽省体育运动学校	0xc5
江苏建筑职业技术学院	0x858
济南铁路局广播电视大学	0x554
蒙自师范高等专科学校	0x9ed
通化师范学院	0x653
厦门软件职业技术学院	0x677
晋中职业技术学院	0xf05
江西省商业技工学校	0x8ec
武汉大学职业技术学院	0x231
泉州信息工程学院	0xdd7
南宁学院	0x740
河北科技师范学院	0xf9b
焦作师范高等专科学校	0xe89
安徽工业经济学校	0x758
广西经贸职业技术学院	0x38f
东北师范大学人文学院	0x21d
锡林郭勒职业学院	0x9b9
宁波城市职业技术学院	0xed4
山东省济宁商业学校	0xe7b
湖南工商职业学院	0x217
浙西电力技术学校	0x2c7
海口经济学院	0x5e6
湖南省建材工业学校	0xbbe
重庆建筑高等专科学校	0xd79
河北轻化工学	0x74f
河南省建筑职工大学	0x1ca
山东科技大学泰山科技学院	0x209
厦门演艺职业学院	0x314
西安石油大学	0x741
广州航海学院	0xaa0
湖南省轻工业厅职工大学	0xd2c
北京市海淀区职工大学	0x5fe
湘潭工学院	0x772
天津市河东区职工大学	0xb52
大庆职业学院	0x1c1
中国人民解放军国防科技大学	0xeb8
武威师范学校	0xf32
上海金融学院	0x1079
天津财经大学珠江学院	0x222
南阳理工学院	0x334
唐山工业职业技术学院	0x1f5
内蒙古丰州职业学院	0x414
武汉铁路桥梁学校	0xe91
上饶教育学院	0x3cf
长江职业学院	0x819
哈尔滨电力职业技术学院	0x9d5
黑龙江信息技术职业学院	0x803
陇南师范高等专科学校	0x33c
重庆建筑大学	0xb1b
西藏民族大学	0x10ce
浙江艺术学校	0x36
日照职业技术学院	0xa82
福建体育学院	0xc51
北京工业大学	0x403
杭州应用工程技术学院	0x415
北京市第三人民警察学校	0xfc8
华东师范大学	0x751
天津商业大学宝德学院	0xaaa
安徽冶金科技职业学院	0x272
吉林交通职业技术学院	0xb36
朝阳职工大学	0xf23
宁波大学	0x8d
沈阳医学院	0x55d
安徽城市管理职业学院	0x2f9
青海民族师范高等专科学校	0xeda
南京信息工程大学滨江学院	0x22e
南昌师范学院	0xba2
湛江幼儿师范专科学校	0x1055
江西省冶金技师学院	0xecb
延安师范学校	0x109b
扬州电子职工中专校	0x5ad
南京森林警察学院	0x559
泰安师范专科学校	0xa8e
山东省财政学校	0x879
武汉电力职业技术学院	0x6f7
天津广播影视职业学院	0xa9a
漯河食品职业学院	0x1016
河海大学文天学院	0x4f2
山东华宇工学院	0x666
珠海艺术职业学院	0xc21
中国人民解放军陆军军事交通学院	0xfbf
福建船政交通职业学院	0x310
浙江水利水电专科学校	0xd7d
铜陵学院	0x6a0
北华大学	0x26b
西安城市建设职业学院	0xf44
山东服装职业学院	0x4d6
山东省物资学校	0xc1f
山东省人口学校	0x495
盘锦职业技术学院	0x446
潍坊工程职业学院	0x962
济南师范学校	0x304
上海建桥职业技术学院	0xcd8
景德镇高等专科学校	0xc55
重庆经贸职业学院	0xfeb
新疆艺术学院	0x34e
南宁职业技术学院	0x308
东北电力大学	0xa2a
达州职业技术学院	0xeab
北京工商大学嘉华学院	0x117
武汉船舶职业技术学院	0x1173
广州市联合职工大学纺织学院	0x64e
淮北师范大学信息学院	0xb29
安阳中医药学校	0xb93
蚌埠工业学校	0xfab
泉州工程职业技术学院	0x884
山东胜利职业学院	0xec5
广州华立科技职业学院	0x109
开封空分设备厂职工大学	0xcee
陕西省乾县师范学校	0xb6a
咸宁高等师范专科学校	0x2b8
威海市广播电视大学	0x887
扬州市职业大学	0x572
海南外国语职业学院	0x75f
吉林工程技术师范学院	0x43f
巴中职业技术学院	0xfd1
昆明铁道职业技术学院	0x21b
浙江万里职业技术学院	0x92
江苏省南通商贸高等职业学校	0x186
湖北省纺织服装工业学校	0x10d3
包头职业技术学院	0x10e4
郑州牧业工程高等专科学校	0x109e
赤峰职业技术学院	0x476
宁波卫生学校	0x7c7
宁夏警官职业学院	0x55
中国政法大学	0x398
汕头职业技术学院	0xb0
贵州理工学院	0x1109
天津医科大学临床医学院	0xdb5
西藏大学	0x8a6
西华师范大学	0xefe
南京医科大学康达学院	0x752
安阳工学院	0xfaf
西安铁路运输职工大学	0xa6a
重庆中医学校	0x610
第一拖拉机制造厂拖拉机学院	0x6e2
白城医学高等专科学校	0x1d1
洛阳工学院	0xf1
山西大同大学	0x171
福建工程学校	0xf13
青岛工学院	0x724
毕节医学高等专科学校	0x2f
寿光中等专业学校	0x4e9
滨州卫生学校	0x900
湖南省电子工业学校	0x27c
湘西民族职业技术学院	0xef7
山西中医药大学	0x816
博兴师范	0xa
青海银行学校	0x714
洛阳农业高等专科学校	0x761
福建警官职业学院	0x323
广州市建筑总公司职工大学	0x6c9
太原师范学校	0xf64
太原学院	0x1157
扬州职工学校	0x1082
如皋高等师范学校	0x502
广西演艺职业学院	0x65d
襄樊教育学院	0x2a6
铜陵市卫生学校	0xa0f
广西英华国际职业学院	0x24f
佛山煤田职工地质学院	0xca8
广西科技职业学院	0xc29
杭州电子科技大学信息工程学院	0xd36
对外经济贸易大学中国金融学院	0x3f5
林业部宁波林业学校	0xc01
天津城市职业学院	0x63f
贵州师范大学	0x674
广东公安高等专科学校	0x7d
四川卫生康复职业学院	0x116c
广州康大职业技术学院	0x5b4
三门峡工学院	0xcec
辽宁水利职业学院	0xa29
福建林业职业技术学院	0xf4e
济宁师范专科学校	0xc96
中国民航大学	0x123
北京市法律业余大学	0x17a
河南轻工职业学院	0x432
黑龙江财经学院	0x43a
本溪冶金高等专科学校	0x3bb
安康教育学院	0x9dc
华中理工大学	0xe53
青岛恒星科技学院	0x71e
天津教育学院	0x10be
商丘医学高等专科学校	0xdeb
北京航空航天大学	0x13b
河北联合大学	0x116d
石家庄影视艺术职业学院	0x640
潍坊职业学院	0x11e
德州财贸经济学校	0xfa2
汕头大学	0x4bf
四川电力职业技术学院	0x5ee
唐山职业技术学院	0x13
浙江理工大学	0xc94
阳江市教师进修学校	0xd96
喀什大学	0x8b
铜陵市经济管理职工中等专业学校	0x607
银川能源学院	0x7b6
株洲市职工大学	0x65f
中国人民武装警察部队特种警察学院	0x10d1
温州农业学校	0xdbe
武汉科技职工大学	0x1ac
武汉华夏理工学院	0x7de
山西交通职业技术学院	0xb6b
河北传媒学院	0x946
安徽现代信息工程职业学院	0xc3e
南京铁道职业技术学院	0x50d
河南理工大学	0x1de
襄阳汽车职业技术学院	0x910
浙江同济科技职业学院	0x1051
陕西外国语师范专科学校	0x2fc
阿拉善广播电视大学	0xa9e
益阳医学高等专科学校	0x14e
北京警察学院	0x6d5
广州商学院	0xdab
电子科技大学	0x9d1
西南政法大学	0x84f
呼和浩特职业学院	0x117a
庆阳职业技术学院	0xed6
襄樊学院	0x4ea
铜陵市商业成人中专学校	0x9d8
天津滨海职业学院	0xd24
西南民族大学	0x22b
上海杉达学院	0xefb
中国工运学院	0x9f4
湖南都市职业学院	0xdb2
保定金融高等专科学校	0x244
河北北方学院	0x8fb
上海医科大学	0x122
三峡大学科技学院	0xbb7
中国矿业大学	0xcb9
中国人民解放军陆军装甲兵学院	0x137
安徽交通学校	0xcc5
广西水电技工学校	0x34d
浙江警官职业学院	0x1046
苏州教育学院	0x70a
江西师范大学	0x426
陕西科技大学	0xef4
日照航海工程职业学院	0x85f
中国人民解放军陆军工程大学	0x921
济宁师范学校	0xee1
郑州交通职业学院	0xd6b
甘肃省畜牧学校	0xb73
云南三鑫职业技术学院	0x97b
宁都师范学校	0xa7d
西藏自治区农牧学校	0x788
安徽省政法干部学校	0x461
郑州人民警察学校	0x15e
金陵职业大学	0xe37
中州大学	0x6a4
共青科技职业学院	0x20f
宿迁学院	0xd98
南京理工大学	0x9cd
通化市职工大学	0x3e
齐鲁经济学院	0xe0b
湖南省长沙农业学校	0x9e7
长沙教育学院	0xe6b
江西财经职业学院	0xa05
山东外贸职业学院	0x1b2
南方电力职工大学	0xf6b
池州师范专科学校	0x841
皖西卫生职业学院	0xb2d
上海海事大学	0xf12
湖南省公路技工学校	0xe39
新疆建设职业技术学院	0x56e
湖北体育职业学院	0xca7
开封职工大学	0x7bf
铜陵财经专科学校	0x30e
昆明艺术职业学院	0xe27
华南农业大学	0xdb7
青海政法高等专科学校	0x13e
营口理工学院	0x3ce
重庆旅游职业学院	0x46f
江西中医药大学	0x6d8
中国人民解放军陆军航空兵学院	0xbd2
惠州卫生职业技术学院	0x143
江苏联合职业技术学院	0xd67
广西警官高等专科学校	0x46
延安教育学院	0xfec
闽南理工学院	0xc33
兰州工业学院	0x510
山东政法学院	0xaad
菏泽职业学院	0x84e
南阳教育学院	0x111f
贵州师范学院	0x3f0
重庆电信职业学院	0x260
云南大学旅游文化学院	0xa0a
潍坊市供销技工学校	0xb0a
临夏回族自治州卫生学校	0xcd1
商丘职业技术学院	0x1060
豫章师范学院	0x195
西安铁路运输学校	0xbd8
山西机电职业技术学院	0x344
湖北大学	0x2
山东化工职业学院	0xdec
兰州交通大学博文学院	0xd6e
延边医学院	0x34f
山西工程技术学院	0x9dd
石家庄铁道大学四方学院	0x708
无锡科技职业学院	0x72c
枣庄科技职业学院	0xcc7
焦作教育学院	0xc14
齐齐哈尔工程学院	0xa0d
宁夏供销学校	0xafd
长沙交通学院	0x860
湖南第一师范学院	0x437
阿克苏职业技术学院	0xe88
广西政法管理干部学院	0x102a
沈阳教育学院	0xef5
吉林公安高等专科学校	0x8d8
包头钢铁职业技术学院	0x590
宁波职业技术学院	0xcba
徐州工程学院	0x102f
武汉电力学校	0x10a6
黑龙江省教育学院	0xbec
零陵师范高等专科学校	0x81a
云南水利水电职业学院	0x92e
湖北汽车工业学院科技学院	0xd0
湖北工程学院	0xa00
浙江农林大学暨阳学院	0xe6c
重庆医科大学	0x867
四川商务职业学院	0xc0a
广州珠江职业技术学院	0xc77
惠民师范	0x4ed
西南石油大学	0xeb5
安徽广播影视职业技术学院	0x8ca
柴沟堡师范	0x1017
武汉汽车工业大学	0x893
山东省青年管理干部学院	0x5a6
浙江财政学校	0x4e8
郑州黄河护理职业学院	0x1083
福建体育职业技术学院	0x1f3
华北水利水电学院	0xccb
烟台工程职业技术学院	0x766
中原工学院信息商务学院	0xbf2
鄂尔多斯应用技术学院	0x59a
第五冶金建设公司职工大学	0x64f
山西警官高等专科学校	0xa6b
和田师范专科学校	0x8a8
西安大学	0xa62
黄河科技学院	0xd73
河北师范大学	0xb50
郴州师范高等专科学校	0x6be
桂林旅游学院	0xd75
湖北商贸学院	0x1003
南昌幼儿师范学校	0xb2e
湖南信息科学职业学院	0x4e2
川北教育学院	0x4a5
明达职业技术学院	0x938
潍坊高等专科学校	0x10c5
济南大学泉城学院	0x620
苏州百年职业学院	0x10
云南经济管理学院	0x9a7
天津财经大学	0x6ce
驻马店市财税职工中等专业学校	0x23e
浙江供销学校	0x8f1
天津中医药大学	0x10e7
北京计算机学院	0xa7a
钟山职业技术学院	0x207
上海纺织工业职工大学	0x10fb
商丘文化艺术学校	0x41
泉州经贸职业技术学院	0x82
郑州黄河医学中等专业学校	0x97e
齐齐哈尔大学	0x5a1
江西渝州科技职业学院	0x76a
华南建设学院（东院）	0xccf
桂林理工大学	0xbc8
上海工业大学	0x87f
山东省益都卫生学校	0xc56
牡丹江医学院	0x891
宜春幼儿师范高等专科学校	0x1098
邢台教育学院	0x8c2
上海视觉艺术学院	0x453
安徽省商业学校	0x4e6
洛阳市人民警察学校	0x181
长安大学兴华学院	0x252
华侨大学	0x821
邢台职业技术学院	0xf63
安徽省合肥卫生学校	0x970
四川工业管理职业学院	0x433
陕西省咸阳教育学院	0x742
安徽电子信息职业技术学院	0x450
兰州石化职业技术学院	0x1a1
西南交通大学	0xf2a
桂林理工大学博文管理学院	0x762
绍兴文理学院元培学院	0xc9
思茅师范高等专科学校	0x7ed
山东理工大学	0xae9
河北商业高等专科学校	0x158
广西机电职业技术学院	0x1120
衡阳教育学院	0x7f6
北京市农业学校	0x785
杭州化学工业学校	0xca3
宜昌市财经学校	0xc60
广东技术师范学院天河学院	0xed
山西老区职业技术学院	0x1a6
温州大学	0x812
黑龙江省社会科学院职工大学	0xf5f
嘉兴南洋职业技术学院	0xc8
南京理工大学泰州科技学院	0xf8d
长沙县教师进修学校	0x16c
吉林建筑大学城建学院	0x146
九江师范学校	0x96c
辽宁中医药大学杏林学院	0x40b
江西科技职业学院	0x85a
张仲景国医大学	0x529
山西戏剧职业学院	0x6ba
东南大学	0x1e8
湖南汽车工程职业学院	0x41c
厦门医学院	0x875
商丘财税学校	0xbc4
湖北三峡职业技术学院	0x2dc
苏州科技大学天平学院	0xba7
广东舞蹈戏剧职业学院	0xa8f
柳州师范高等专科学校	0x1174
湖北航运学校	0x7d2
重庆建筑工程职业学院	0x90
浙江育英职业技术学院	0xcd5
宁夏卫生学校	0x100a
温州科技职业学院	0xf0c
武威卫生学校	0xcc0
上海城市管理职业技术学院	0x82a
成都工业职业技术学院	0x397
陕西省建筑工程总公司职工大学	0x4aa
华北水利水电大学	0x539
中国人民解放军空军哈尔滨飞行学院	0x511
北京市成人电子信息大学	0x5f6
成都艺术职业学院	0xaa5
四川应用技术职业学院	0x80d
湖北工程学院新技术学院	0xe8b
山西管理职业学院	0x959
三明师范高等专科学校	0xa68
浙江电力职业技术学院	0xe75
长沙铁道学院	0x5b5
郑州铁路机械学校	0x84
济南护理职业学院	0xafc
大连外国语大学	0x275
荆州农业学校	0x657
广西工学院	0x767
北京石油化工专科学校	0xe55
石家庄城市职业学院	0x28e
黄山市中华职业学校	0xf33
河北纺织工业学校	0x68c
泉州华光职业学院	0x43b
培黎石油学校	0x3ea
泰山学院	0x76b
重庆海联职业技术学院	0x83c
河北地质职工大学	0xea8
西安思源学院	0xb56
武汉工程大学邮电与信息工程学院	0xa60
黑龙江生态工程职业学院	0x3ed
南阳高等师范专科学校	0xc7c
广西民族大学	0x1057
厦门南洋职业学院	0xce4
湖南商学院	0xac
淮南师范学校	0xe23
哈尔滨幼儿师范高等专科学校	0x541
莆田学院	0x341
舟山石化学校	0xd4
台州科技职业学院	0x95e
江门职业技术学院	0xb19
阜阳经济专修学院	0x3e4
北京无线电工业学校	0xa5a
吕梁职业技术学院	0x4b1
焦作工贸职业学院	0xae5
新疆农业大学科学技术学院	0xaf6
苏州高级工业学校（含苏州市电子学校）	0x91d
江西服装职业技术学院	0xb20
合肥学院	0x4fe
长江艺术工程职业学院	0x68e
山西省水利学校	0xd41
吉林城市职业技术学院	0xb37
合肥信息技术职业学院	0x9f8
辽宁科技大学	0xf74
江西中医药大学科技学院	0xaa3
淮阴师范学院	0x89e
湖北省纺织职工大学	0x489
北京石油化工学院	0x960
贵州商学院	0x982
东北林业大学	0x7e7
徐州工业职业技术学院	0xa91
北京信息职业技术学院	0x59d
云南艺术学院文华学院	0xadf
四川邮电职业技术学院	0xb0f
和田地区教育学院	0x220
石河子大学	0x2f6
湖北科技学院	0x1099
合肥联合大学	0xece
武夷山职业学院	0xff4
上海外国语大学	0x98
杭州工艺美术学校	0xc64
山东女子学院	0x6b5
景德镇陶瓷大学科技艺术学院	0x10f
上海电影艺术职业学院	0xb46
武汉水利电力大学	0x5fc
武汉大学	0x10c2
西藏自治区综合中专学校	0xdd8
云南商务职业学院	0x258
西安医学院	0xf31
首都经济贸易大学	0xd2a
辽宁财政高等专科学校	0xba
河北科技大学理工学院	0x10c4
西安统计学院	0x1f7
浙江中医药大学滨江学院	0xc95
天津中德应用技术大学	0x6bf
文山学院	0xa69
吉林农业科技学院	0xa41
邵阳师范专科学校	0x786
成都工业职工大学	0xe3d
山西煤炭职业技术学院	0x8b7
石家庄铁路工程职业技术学院	0xe68
安徽材料工程学校	0x646
重庆工商大学融智学院	0x161
厦门兴才职业技术学院	0xb78
西南财经大学	0x561
烟台黄金职业学院	0x276
玉柴职业技术学院	0xfa3
硅湖职业技术学院	0xd8d
大同煤炭职业技术学院	0xef2
佛山农牧高等专科学校	0x50a
上海城建职业学院	0x106
浙江万里学院	0x9ac
厦门华天涉外职业技术学院	0x228
中南林业科技大学	0x1067
郑州轻工业学院	0xeea
浙江经贸职业技术学院	0xdd5
河南师范大学	0x9f5
鹤岗师范高等专科学校	0x9f1
陇东学院	0xcf8
成都师范高等专科学校	0x1153
随州师范	0x2e1
天津师范大学津沽学院	0x378
江西应用工程职业学院	0xd9e
公安边防部队高等专科学校	0x16d
南昌钢铁有限责任公司职工大学	0xfdc
广州华夏职业学院	0x9e1
安徽经济管理干部学院	0xed1
郑州艺术学校	0x188
浙江邮电职业技术学院	0xcbb
青海师范大学	0xf1f
上海工艺美术职业学院	0xf04
阿坝师范学院	0x54c
西南大学育才学院	0xba9
鹤壁师范学校	0x80b
河北工程技术学院	0xfb6
江苏省广播电视大学（扬州分校）	0xe08
安徽广播电视大学（铜陵市分校）	0xc58
广西民族大学相思湖学院	0x7f1
太仓工业学校	0xc36
江苏省商业学校	0x25b
山东省戏曲学校	0xff5
中国人民武装警察部队后勤学院	0x1e1
内蒙古机电职业技术学院	0x93d
邢台医学高等专科学校	0x2de
泉州师范高等专科学校	0x10b2
江苏大学京江学院	0xcd4
沈阳职工大学	0x11c
武汉学院	0x166
公安部管理干部学院	0xda0
安徽三联学院	0xa75
泉州光电信息职业技术学院	0xac1
泉州工艺美术职业学院	0xea3
长治职业技术学院	0xe9f
安徽电力职工大学	0x127
北京市东城区职工业余大学	0xe9e
北京市总工会职工大学	0x250
河南质量工程职业学院	0x8bc
常德职业技术学院	0x6df
常州纺织服装职业技术学院	0x1135
河套学院	0xa73
吉林工商学院	0x110
重庆人文科技学院	0xdac
广东省国防工业职工大学	0x5b3
华南建设学院	0x4d8
山西省职工工艺美术学院	0x6b8
山东省轻工业经济管理学校	0xdc5
四川希望汽车职业学院	0x10e
上海中医药大学	0xbe0
闽西职业技术学院	0xe64
湖南国防工业职业技术学院	0x163
湖北医药学院药护学院	0xa95
张家界航空工业职业技术学院	0x45
商丘工学院	0xb38
山东大学	0x83
西安思源科技培训学院	0xd15
聊城市体育运动学校	0x375
宝鸡职业技术学院	0x4cb
石家庄财经职业学院	0xd87
黄冈职业技术学院	0xb9b
山西国际商务职业学院	0xa0c
湖南公安高等专科学校	0x9f
湖南九嶷职业技术学院	0x182
甘肃省建筑材料工业学校	0xdfa
山东交通学院	0x13c
武汉纺织大学外经贸学院	0xf3b
鹤壁汽车工程职业学院	0x1026
哈尔滨音乐学院	0xe41
商丘学院	0x5a4
吉首民族师范学校	0x10e3
沧州职业技术学院	0xd66
辽宁何氏医学院	0x8e
西昌农业高等专科学校	0xf90
绍兴职工大学	0x435
辽宁机电职业技术学院	0x81f
北海职业学院	0xf0d
中国计量大学现代科技学院	0x9ad
广东工学院	0x908
长春教育学院	0xe4d
大庆医学高等专科学校	0x532
长春光华学院	0x839
湖南工程职业技术学院	0x370
昆明师范高等专科学校	0x8d1
酒泉育才学校	0x1bb
大连理工大学城市学院	0xdbb
陕西省大荔师范学校	0x74d
郑州澍青医学高等专科学校	0x531
天津现代职业技术学院	0x877
淮南师范专科学校	0x8ae
江西环境工程职业学院	0x6fb
河北化工医药职业技术学院	0x8a9
湖南师范大学	0x10a1
潍坊护理职业学院	0x3b4
福州海峡职业技术学院	0xf81
安康职业技术学院	0x629
吴忠师范学校	0x52c
广西师范大学漓江学院	0x336
开封大学	0x10c1
武昌首义学院	0x113d
济南建筑工程学校	0x994
天津医学高等专科学校	0x599
浙江吉利中等专业学校	0x8ad
淄博学院	0xae3
黄山高等专科学校（1997）	0x62d
重庆机电职业技术学院	0xb25
安徽艺术职业学院	0xf9c
辽宁铁道职业技术学院	0x3f7
上海市机电工业学校	0x9f2
安康学院	0x82e
金昌师范学校	0x8cb
无锡教育学院	0x776
江苏省食品学校	0xbe8
佳木斯工学院	0xc0b
贵州经贸职业技术学院	0x75a
铁道部工业职工大学	0x1165
荆州师范学院	0x10d6
浙江幼儿师范学校	0xdd2
西安市经济贸易学校	0x9ca
湖南理工职业技术学院	0x7b5
青岛港湾职业技术学院	0x813
湖南女子职业大学	0x4c9
海南政法职业学院	0xeb4
衢州中等专业学校	0x7bd
萍乡高等专科学校	0xd64
河北工业职业技术学院	0xfa1
中南政法学院	0xca6
浙江横店影视职业学院	0x44e
福建广播电视大学福州分校	0x385
广西交通职业技术学院	0xc0
上海欧华职业技术学院	0x844
燕山大学里仁学院	0x7f
宁夏防沙治沙职业技术学院	0xed7
广州科技职业技术学院	0x5e
西双版纳职业技术学院	0x144
湖南女子学院	0x60f
北海艺术设计学院	0xbd4
四川西南航空职业学院	0x957
长江工程职业技术学院	0x110e
青岛黄海学院	0xc20
台州学院	0x789
苏州工业园区服务外包职业学院	0x35
宁夏大学	0x73
江西轻工职业技术学院	0x1130
北京京北职业技术学院	0xb27
银川市商业学校	0x2c3
威海职业学院	0xef6
辽宁建筑职业学院	0x3ba
湖南食品药品职业学院	0x1a5
广西职业技术学院	0x9a1
广东外语外贸大学南国商学院	0x350
商丘市体育运动学校	0x6b7
南京工业大学浦江学院	0xc0c
广西工程职业学院	0xacd
东莞职业技术学院	0xb3a
酒泉工贸中等专业学校	0x6e1
鲁迅美术学院	0x1147
常熟理工学院	0xafe
井冈山职业技术学院	0x2ff
内蒙古民族师范学院	0xcae
陕西省仪祉农业学校	0xfdd
宁夏建筑工程学校	0x7e0
江苏警官学院	0x11a
苏州卫生职业技术学院	0xbef
滁州建筑工程学校	0x7d6
宁波交通职业技术学院	0x98f
黄石广播电视大学	0x1027
滁州师范专科学校	0x116a
佳木斯师范专科学校	0x4b4
南通市粮食职工学校	0xda3
广州民航职业技术学院	0x46c
长白山职业技术学院	0x2c6
吕梁学院	0x85e
四川航天职业技术学院	0xb15
新疆现代职业技术学院	0x1bc
南方医科大学	0x409
成都电子机械高等专科学校	0xa84
湖南同德职业学院	0x10d4
福建对外经济贸易职业技术学院	0xee0
山东省交通学校	0x94c
福建幼儿师范高等专科学校	0x465
中国石油大学胜利学院	0xf14
贵州航空职业技术学院	0xd76
重庆工贸职业技术学院	0xfe2
潍坊医学院	0xdcd
西北政法学院	0xc11
济宁职业技术学院	0xac2
山东管理学院	0x1040
丽水师范专科学校	0x912
泰州卫生学校	0x112b
黑龙江省电力职工大学	0xaef
江西科技学院	0x49
赣南文艺学校	0x5d8
山东青年政治学院	0x1149
阜宁高等师范学校	0x6f0
湖南信息学院	0x807
广东创新科技职业学院	0x549
陕西省蒲城师范学校	0x18e
平顶山文化艺术职业学院	0xb70
衡阳工业职工大学	0xe00
青海交通职业技术学院	0x6a1
民办安徽旅游职业学院	0x769
琼台师范学院	0xff7
长春师范高等专科学校	0xedb
寿光市体育竞技学校	0xa64
长城英豪学校	0xbf7
天津国土资源和房屋职业学院	0x51e
上海电力学院	0xf57
黑龙江职业学院	0x32b
滁州职业技术学院	0xd9
昌吉职业技术学院	0xbbf
哈尔滨市职工医学院	0x106c
福州外语外贸学院	0xfd6
湖北警官学院	0x928
朝阳职工工学院	0x2c4
山东现代职业学院	0xd90
贵州轻工职业技术学院	0xab
湖南水利水电职业技术学院	0x6a9
商丘广播电视大学	0xa7c
安徽工学院	0xd69
天津工程职业技术学院	0x734
泉州医学高等专科学校	0xebf
天津理工大学	0x103e
河北外国语学院	0x8cc
西藏农牧学院	0x88a
江苏科技大学苏州理工学院	0x645
济南幼儿师范学校	0xf82
徐州医科大学	0xa6c
陕西省广播电视大学	0x193
黑龙江省政法管理干部学院	0xad8
山东大学电子维修培训学校	0x324
运城师范高等专科学校	0x103a
佛山市机电学校	0x4a4
铁道警察学院	0x2ad
西安科技大学	0x53e
兰州外语职业学院	0xfcb
鄂东职业技术学院	0x94
甘肃有色冶金职业技术学院	0xc6f
广东省职工体育运动技术学院	0xd2e
天津物资管理干部学院	0x8e9
辽宁现代服务职业技术学院	0x67f
黑龙江农垦科技职业学院	0x8e0
云南警官学院	0xad7
池州职业技术学院	0x644
长春职工大学	0xc84
毕节职业技术学院	0xa58
河西学院	0x10a7
贵州电子商务职业技术学院	0x311
浙江大学	0x14d
南京市职工大学	0x58f
泊头职业学院	0x18f
广州体育职业技术学院	0xe83
黄山职业技术学院	0x3ef
兰州文理学院	0xf6e
中央音乐学院	0x3b
江汉大学文理学院	0xe1
辽宁石油化工大学顺华能源学院	0x236
乌兰察布盟师范学校	0x7cf
天津石油职业技术学院	0x2e7
上海市虹口区业余大学	0x77b
西安航空职工大学	0xa63
贵州机械工业职工大学	0x665
宜春学院	0xad1
唐山师范专科学校	0x43e
江苏财经高等专科学校	0x3ac
西安汽车科技专修学院	0xba1
延边大学	0x172
广东岭南职业技术学院	0x371
中国科学技术大学	0x15c
伊春职业学院	0x2af
湖北省中医药学校	0xdb1
河北农业大学现代科技学院	0xa65
曹妃甸职业技术学院	0xc79
长春科技大学	0xe22
龙岩师范高等专科学校	0xaf3
莱芜广播电视大学	0xbb1
西安飞机工业公司职工工学院	0xcd7
合肥工业大学	0xc5a
顺德职业技术学院	0xc98
武汉科技工程学校	0xb64
甘肃钢铁职业技术学院	0x4a6
辽宁财贸学院	0x279
太原市教育学院	0x50
铜陵有色成人中专学校	0xed5
湖南商学院北津学院	0xbcd
天津理工学院	0xc6b
北京物资学院	0x632
江西经济管理干部学院	0x92f
陕西航天职工大学	0x8d2
安徽省经贸学校	0x997
承德医学院	0x687
铜陵师范学校	0xd9d
民办合肥滨湖职业技术学院	0x830
海南经贸职业技术学院	0x10ad
西昌学院	0xcc4
沈阳师范学院	0x3b6
河北美术学院	0x20b
无锡商业职业技术学院	0xb87
朝阳师范高等专科学校	0x512
黑龙江粮食职业学院	0xb1f
南京林业大学	0x983
大连科技学院	0xc34
阜阳师范学院	0xe19
承德旅游职业学院	0x7ff
